codigo_pcd;id;nom_es;value;source;qualitative_value;notes;label_value
50307;3650;Diriá;77.12;5;;1;77,12
50308;3651;Cabo Velas;71.87;5;;1;71,87
40502;3611;San Josecito;10818.02;5;;1;10 818,02
40503;3612;Santiago;6830.33;5;;1;6 830,33
40504;3613;Ángeles;762.79;5;;1;762,79
40505;3614;Concepción;442.81;5;;1;442,81
40601;3615;San Isidro;2282.59;5;;1;2 282,59
40602;3616;San José;857.42;5;;1;857,42
40603;3617;Concepción;512.31;5;;1;512,31
40604;3618;San Francisco;1171.68;5;;1;1 171,68
40701;3619;San Antonio;3107.18;5;;1;3 107,18
50309;3652;Tamarindo;70.29;5;;1;70,29
50401;3653;Bagaces;26.55;5;;1;26,55
50402;3655;La Fortuna;24.07;5;;1;24,07
50403;3654;Mogote;22.73;5;;1;22,73
50404;3656;Río Naranjo;50.27;5;;1;50,27
50501;3657;Filadelfia;77.99;5;;1;77,99
50502;3658;Palmira;240.47;5;;1;240,47
50503;3659;Sardinal;84.29;5;;1;84,29
50504;3660;Belén;71.05;5;;1;71,05
50601;3661;Caņas;135.66;5;;1;135,66
50602;3662;Palmira;7.63;5;;1;7,63
50603;3663;San Miguel;16.87;5;;1;16,87
50604;3664;Bebedero;43.29;5;;1;43,29
50605;3665;Porozal;7.87;5;;1;7,87
50701;3667;Las Juntas;44.86;5;;1;44,86
50702;3666;Sierra;41.81;5;;1;41,81
50703;3668;San Juan;17.7;5;;1;17,7
50704;3669;Colorado;25.77;5;;1;25,77
50801;3670;Tilarán;64.08;5;;1;64,08
50802;3671;Quebrada Grande;90.16;5;;1;90,16
50803;3672;Tronadora;23.74;5;;1;23,74
50804;3673;Santa Rosa;31.11;5;;1;31,11
50805;3674;Líbano;13.38;5;;1;13,38
50806;3675;Tierras Morenas;27.04;5;;1;27,04
50807;3676;Arenal;38.07;5;;1;38,07
50808;3677;Cabeceras;60.75;5;;1;60,75
50901;3678;Carmona;86.46;5;;1;86,46
40702;3620;La Ribera;1868.21;5;;1;1 868,21
50902;3679;Santa Rita;27.46;5;;1;27,46
50903;3680;Zapotal;11.61;5;;1;11,61
50904;3681;San Pablo;28.69;5;;1;28,69
50905;3682;Porvenir;18.29;5;;1;18,29
50906;3683;Bejuco;12.05;5;;1;12,05
51001;3684;La Cruz;61.47;5;;1;61,47
51002;3685;Santa Cecilia;48.11;5;;1;48,11
51003;3686;La Garita;13.5;5;;1;13,5
51004;3687;Santa Elena;55.69;5;;1;55,69
51101;3688;Hojancha;48.3;5;;1;48,3
51102;3689;Monte Romo;9.43;5;;1;9,43
51103;3690;Puerto Carrillo;25.33;5;;1;25,33
51104;3691;Huacas;23.76;5;;1;23,76
40703;3621;La Asunción;1659.64;5;;1;1 659,64
40801;3622;San Joaquín;2855.2;5;;1;2 855,2
40802;3623;Barrantes;1138.83;5;;1;1 138,83
51105;3694;Matambú;93.86;5;;1;93,86
40803;3627;Llorente;6452.18;5;;1;6 452,18
40901;3624;San Pablo;3413.2;5;;1;3 413,2
60101;3692;Puntarenas;546.09;5;;1;546,09
60102;3693;Pitahaya;31.66;5;;1;31,66
60103;3695;Chomes;63.38;5;;1;63,38
60104;3697;Lepanto;29.99;5;;1;29,99
60105;3696;Paquera;37.93;5;;1;37,93
60106;3698;Manzanillo;63.61;5;;1;63,61
60107;3699;Guacimal;11.69;5;;1;11,69
60108;3700;Barranca;1173.19;5;;1;1 173,19
60111;3701;Cóbano;37.6;5;;1;37,6
60201;3706;Espíritu Santo;1080.09;5;;1;1 080,09
60202;3708;San Juan Grande;215.36;5;;1;215,36
